Block No,Threads,Block Size,Seq. Time,iBTM Time,TPS_Seq,TPS_iBTM,Speedup
14000011,16,99,10.491303,4.148922,9436.387453493622,23861.619958148163,2.5286816671896943
14000018,16,115,4.903655,1.306724,23451.894556203486,88006.34257884603,3.7526325375519236
14000022,16,339,18.3338,3.360064,18490.43842520372,100890.93541075409,5.45638416411116
14000059,16,129,9.284734,2.433232,13893.774447388583,53015.906415828824,3.815803014262512
14000066,16,95,12.56025,4.74926,7563.543719273103,20003.11627495652,2.6446751704476066
14000090,16,254,13.254792,2.485404,19162.880866029434,102196.66500898848,5.333053298377246
14000101,16,73,5.297919,1.651877,13778.995111099282,44192.15232126848,3.2072115538868813
14000103,16,347,17.441006,3.547914,19895.641340872193,97803.9490246945,4.915848016609197
14000114,16,408,22.424177,5.991534,18194.647678708567,68096.0835739228,3.742643703599112
14000123,16,13,1.348639,1.297708,9639.347519981255,10017.661908534123,1.0392468875895038
14000166,16,65,3.950893,1.797323,16451.976806256203,36164.89634862515,2.198209781992441
14000176,16,70,5.843621,1.557552,11978.87405771182,44942.31974277584,3.75179833482285
14000208,16,218,11.381832,3.218484,19153.331379342097,67733.75290975503,3.5363953960933157
14000214,16,468,19.979621,5.992202,23423.867750043904,78101.50592386573,3.334270273265154
14000216,16,99,5.799844,1.797881,17069.42462590373,55064.82353392688,3.225933195801057
14000243,16,192,18.491681,7.686997,10383.047382225554,24977.24403951244,2.4055793179052887
14000255,16,244,15.238993,4.880407,16011.556669131614,49995.830265795455,3.122484046924775
14000259,16,72,3.683948,1.536959,19544.24981025791,46845.75190359665,2.3969071393576535
14000261,16,72,2.874517,2.154092,25047.68627216329,33424.75623139588,1.334444861222269
14000302,16,62,4.250933,2.272846,14585.033450303732,27278.574967243712,1.8703128148585517
14000315,16,333,9.07004,2.406723,36714.281304161836,138362.41229256545,3.76862646843862
14000334,16,36,1.090778,1.085027,33003.96597657819,33178.897852311515,1.005300328931907
14000351,16,272,14.130594,6.922272,19249.013877265174,39293.45740820355,2.0413231378368257
14000366,16,397,15.818554,3.005008,25097.11064614376,132112.793044145,5.264063856069601
14000394,16,52,3.528606,1.617436,14736.697721423134,32149.649197866253,2.181604712643962
14000408,16,224,5.227402,1.950615,42851.11418635873,114835.5774973534,2.6798737833965185
14000411,16,53,2.320106,2.312428,22843.783861599426,22919.632524774825,1.0033203195948155
14000423,16,286,12.011947,3.093833,23809.62886366382,92441.96438527871,3.8825453733281656
14000451,16,188,7.652767,2.420395,24566.27779207181,77673.27233777958,3.1617843368541085
14000493,16,95,5.141095,1.544105,18478.553693327976,61524.31343723387,3.329498317795746
14000494,16,80,3.311671,1.314846,24156.989024574,60843.627314529615,2.518675951404195
14000529,16,277,16.341009,14.621924,16951.217639008704,18944.155365600313,1.117569001179325
14000554,16,28,0.8505510000000001,0.8473869999999999,32919.836670581775,33042.753783100285,1.0037338311774906
14000559,16,627,12.449233,6.643084,50364.54856295163,94383.87351416903,1.874014087432885
14000589,16,313,13.346878,3.14479,23451.1771217209,99529.69832643833,4.244123772970532
14000595,16,318,17.282717,3.591942,18399.884694055912,88531.49633262453,4.811524517934867
14000608,16,22,2.332199,2.319042,9433.157290608562,9486.675963609112,1.005673463438782
14000638,16,25,2.13871,2.154173,11689.289337965407,11605.381740463741,0.9928218392858884
14000659,16,148,8.677621,3.038412,17055.365750589935,48709.6549118421,2.855972461930772
14000682,16,77,3.728494,1.102983,20651.769856676718,69810.68611211596,3.380373042920879
14000690,16,117,6.100933,1.356105,19177.39467061841,86276.5051378765,4.498864763421712
14000713,16,120,7.130193,1.837982,16829.838967893294,65288.99630137836,3.8793595367092824
14000720,16,473,9.251408,3.368399,51127.3527229585,140422.7943304816,2.7465297311868335
14000743,16,30,1.420649,1.414211,21117.109152225497,21213.24187126249,1.004552361705573
14000778,16,75,4.674985,1.268499,16042.832222991088,59124.99733937512,3.685446342488248
14000787,16,101,3.536149,1.2331,28562.144864370817,81907.38788419431,2.8676903738545128
14000798,16,338,14.696553,22.559261,22998.590213637173,14982.760295206479,0.6514642922035434
14000816,16,162,9.163739,2.605118,17678.373423773857,62185.2829699077,3.5175907578850554
14000826,16,81,5.826905,1.557401,13901.033224327493,52009.72646094358,3.741428829184006
14000831,16,39,3.662913,1.048727,10647.263530419641,37187.943096725845,3.492723082365573
14000840,16,0,869.0,869.0,0.0,0.0,1.0
14000868,16,149,6.076481,1.550513,24520.77115027596,96097.22717577987,3.91901325561282
14000907,16,332,25.25895,11.844978,13143.855940171703,28028.756153029582,2.1324606934685737
14000998,16,42,3.432882,3.414025,12234.6180264862,12302.19462364804,1.0055233924766223
14001019,16,200,19.242974,13.516892,10393.403847035286,14796.300806427986,1.4236241585713638
14001020,16,4,0.497398,0.495048,8041.849786287841,8080.024563274673,1.0047470144309238
14001033,16,352,17.82841,7.262046,19743.768513288618,48471.18842265665,2.455011989734023
14001065,16,346,23.093529,5.383145,14982.552038711796,64274.694439774525,4.289969711014658
14001079,16,144,12.194703,4.475698,11808.405665968248,32173.752563287333,2.724648311838734
14001126,16,125,5.135229,1.273303,24341.660323229986,98169.87786881832,4.0329984300673125
14001137,16,153,10.510064,1.991883,14557.475577693915,76811.74044861068,5.276446457949588
14001155,16,61,5.484993,2.186078,11121.253937789892,27903.85338492039,2.5090564014641745
14001168,16,95,6.789392,1.430995,13992.41640488574,66387.37382031383,4.744525312806823
14001171,16,17,1.453178,1.452836,11698.498050479706,11701.251896291114,1.000235401655796
14001175,16,6,0.032299,0.031908,185764.26514752777,188040.616773223,1.012253980193055
14001176,16,88,5.722158,1.289838,15378.81337775014,68225.62213239181,4.436338516930033
14001193,16,506,16.600336,6.131519,30481.310739734425,82524.41197686903,2.7073774051748023
14001207,16,142,14.770493,3.654077,9613.761707209096,38860.70271644522,4.042195334143205
14001234,16,32,1.092365,1.088378,29294.23773189364,29401.54982919537,1.0036632493490312
14001243,16,176,11.327534,2.142623,15537.362324403528,82142.30874960271,5.286760199997853
14001260,16,139,4.944808,1.485945,28110.292654436733,93543.16613333602,3.3277193974204966
