Block No,Threads,Block Size,Seq. Time,iBTM Time,TPS_Seq,TPS_iBTM,Speedup
14002794,4,333,21.904595,9.917945,15202.289747881667,33575.503796401375,2.208582019763167
14000011,4,99,10.50895,7.132734,9420.541538402978,13879.67082467957,1.4733410779092562
14002806,4,251,4.470554,4.864999,56145.16679588257,51593.02191017922,0.9189218743929854
14000018,4,115,4.959393,3.476034,23188.32163532916,33083.68099966802,1.42673892142597
14002827,4,96,8.009253,4.768087,11986.136534830403,20133.860812522922,1.679762344940434
14002849,4,183,8.836801,6.235959,20708.851540280244,29345.927386629708,1.4170716965906927
14000022,4,339,18.419965,11.478889,18403.943764279684,29532.474789154243,1.6046818642466183
14002875,4,136,11.583793,6.478231,11740.54128902338,20993.385385609126,1.7881105196773626
14000059,4,129,9.378911,6.302603,13754.262088636942,20467.733728429346,1.4881011861289692
14002887,4,165,10.660717,6.232833,15477.38299403314,26472.713130610107,1.710412744894657
14000066,4,95,12.714901,7.685972,7471.548539780216,12360.18033893436,1.6542996773862824
14000090,4,254,13.772823,8.029166,18442.116042586185,31634.66790946905,1.7153491408696744
14002933,4,347,22.498092,12.219531,15423.530137577889,28397.161887800765,1.8411583881574505
14000101,4,73,5.615931,3.761798,12998.735205258043,19405.614017552245,1.4928847854137834
14003024,4,144,10.168461,5.810942,14161.435049020693,24780.83587824487,1.7498816887175954
14000103,4,347,17.610342,11.178115,19704.330557578043,31042.80104471997,1.575430383387539
14003042,4,407,23.74735,15.367679,17138.7544294416,26484.155479822293,1.5452788934490367
14003053,4,25,0.513554,0.516039,48680.3724632658,48445.95079054102,0.9951844724914201
14000114,4,408,22.731687,16.272163,17948.513896042998,25073.495146281413,1.396967754071785
14003065,4,191,10.302264,6.461371,18539.6142051883,29560.289913704073,1.5944393225524427
14000123,4,13,1.298608,1.398799,10010.719170065178,9293.68694144048,0.9283735547423183
14003070,4,77,5.311243,3.102686,14497.547937460213,24817.206768586962,1.7118209834962352
14000166,4,65,3.898577,3.189167,16672.75008291487,20381.49773906478,1.2224436663241531
14000176,4,70,5.919953,4.141903,11824.418200617472,16900.44407123972,1.4292833511552538
14000208,4,218,11.622905,7.806284,18756.06829789971,27926.21944064551,1.4889164934301646
14003088,4,321,24.3148,13.546471,13201.83591886423,23696.20840734092,1.7949176578903834
14000214,4,468,20.618196,14.986167,22698.397085758617,31228.799198620967,1.3758151767560045
14000216,4,99,5.967509,3.97363,16589.836730870455,24914.24717449788,1.5017777196165722
14003091,4,274,24.641959,14.522348,11119.245835933742,18867.472394959823,1.6968302233220138
14003093,4,38,5.740985,3.251679,6619.073207820608,11686.270385237902,1.7655448154630269
14003105,4,98,5.719866,4.208414,17133.26850663984,23286.68234636611,1.359150026589589
14000243,4,192,18.794546,10.499487,10215.72960581224,18286.607717119892,1.7900442183508585
14000255,4,244,15.354155,8.925394,15891.463906675423,27337.728732199383,1.7202775586153394
14003132,4,755,18.985424,18.253839,39767.34994172372,41361.16243821368,1.040078418572663
14000259,4,72,3.72091,2.543246,19350.105216197113,28310.277495767223,1.4630554810663223
14000261,4,72,2.919356,2.809313,24662.973614728726,25629.041690975693,1.039170786594445
14003172,4,84,7.994986,4.463308,10506.5850021501,18820.121757225807,1.7912691662775682
14000302,4,62,4.134922,2.528356,14994.236892497609,24521.863218629023,1.6354192210274188
14000315,4,333,9.115919,7.591534,36529.50404671213,43864.652387778275,1.2008006550454755
14000334,4,36,1.092778,1.134346,32943.56218737932,31736.34852152694,0.9633550962404769
14003222,4,267,21.610441,11.559548,12355.138888651092,23097.78894468884,1.8694884090623616
14000351,4,272,14.32988,9.567109,18981.317359252138,28430.74119883028,1.497827609155493
14003237,4,168,15.441237,8.533577,10879.957350567185,19686.937845641987,1.809468292135877
14003248,4,24,2.270784,2.270963,10569.036949353174,10568.20388531209,0.9999211788126886
14000366,4,397,15.507854,10.698058,25599.93149277779,37109.53894622744,1.4495952442957405
