Block No	Threads	Block Size	Seq. Time	iBTM Time
14000011	16	99	10.491303ms	4.148922ms
14000018	16	115	4.903655ms	1.306724ms
14000022	16	339	18.3338ms	3.360064ms
14000059	16	129	9.284734ms	2.433232ms
14000066	16	95	12.56025ms	4.74926ms
14000090	16	254	13.254792ms	2.485404ms
14000101	16	73	5.297919ms	1.651877ms
14000103	16	347	17.441006ms	3.547914ms
14000114	16	408	22.424177ms	5.991534ms
14000123	16	13	1.348639ms	1.297708ms
14000166	16	65	3.950893ms	1.797323ms
14000176	16	70	5.843621ms	1.557552ms
14000208	16	218	11.381832ms	3.218484ms
14000214	16	468	19.979621ms	5.992202ms
14000216	16	99	5.799844ms	1.797881ms
14000243	16	192	18.491681ms	7.686997ms
14000255	16	244	15.238993ms	4.880407ms
14000259	16	72	3.683948ms	1.536959ms
14000261	16	72	2.874517ms	2.154092ms
14000302	16	62	4.250933ms	2.272846ms
14000315	16	333	9.07004ms	2.406723ms
14000334	16	36	1.090778ms	1.085027ms
14000351	16	272	14.130594ms	6.922272ms
14000366	16	397	15.818554ms	3.005008ms
14000394	16	52	3.528606ms	1.617436ms
14000408	16	224	5.227402ms	1.950615ms
14000411	16	53	2.320106ms	2.312428ms
14000423	16	286	12.011947ms	3.093833ms
14000451	16	188	7.652767ms	2.420395ms
14000493	16	95	5.141095ms	1.544105ms
14000494	16	80	3.311671ms	1.314846ms
14000529	16	277	16.341009ms	14.621924ms
14000554	16	28	850.551µs	847.387µs
14000559	16	627	12.449233ms	6.643084ms
14000589	16	313	13.346878ms	3.14479ms
14000595	16	318	17.282717ms	3.591942ms
14000608	16	22	2.332199ms	2.319042ms
14000638	16	25	2.13871ms	2.154173ms
14000659	16	148	8.677621ms	3.038412ms
14000682	16	77	3.728494ms	1.102983ms
14000690	16	117	6.100933ms	1.356105ms
14000713	16	120	7.130193ms	1.837982ms
14000720	16	473	9.251408ms	3.368399ms
14000743	16	30	1.420649ms	1.414211ms
14000778	16	75	4.674985ms	1.268499ms
14000787	16	101	3.536149ms	1.2331ms
14000798	16	338	14.696553ms	22.559261ms
14000816	16	162	9.163739ms	2.605118ms
14000826	16	81	5.826905ms	1.557401ms
14000831	16	39	3.662913ms	1.048727ms
14000840	16	0	869ns	869ns
14000868	16	149	6.076481ms	1.550513ms
14000907	16	332	25.25895ms	11.844978ms
14000998	16	42	3.432882ms	3.414025ms
14001019	16	200	19.242974ms	13.516892ms
14001020	16	4	497.398µs	495.048µs
14001033	16	352	17.82841ms	7.262046ms
14001065	16	346	23.093529ms	5.383145ms
14001079	16	144	12.194703ms	4.475698ms
14001126	16	125	5.135229ms	1.273303ms
14001137	16	153	10.510064ms	1.991883ms
14001155	16	61	5.484993ms	2.186078ms
14001168	16	95	6.789392ms	1.430995ms
14001171	16	17	1.453178ms	1.452836ms
14001175	16	6	32.299µs	31.908µs
14001176	16	88	5.722158ms	1.289838ms
14001193	16	506	16.600336ms	6.131519ms
14001207	16	142	14.770493ms	3.654077ms
14001234	16	32	1.092365ms	1.088378ms
14001243	16	176	11.327534ms	2.142623ms
14001260	16	139	4.944808ms	1.485945ms
14001262	16	26	1.475489ms	1.467839ms
14001274	16	166	9.272539ms	1.738777ms
14001316	16	299	18.375676ms	3.34355ms
14001338	16	129	12.748053ms	2.865256ms
14001370	16	242	25.781521ms	3.637776ms
14001412	16	128	10.227612ms	2.104716ms
14001420	16	64	5.122419ms	1.57331ms
14001423	16	200	19.125318ms	3.77004ms
14001434	16	12	664.361µs	663.876µs
14001438	16	68	4.145918ms	1.281178ms
14001544	16	190	12.764887ms	3.247779ms
14001577	16	44	2.541606ms	2.581189ms
14001592	16	175	13.913181ms	2.524366ms
14001593	16	163	11.13614ms	2.207691ms
14001595	16	313	19.926537ms	3.327243ms
14001621	16	330	18.755987ms	3.341043ms
14001668	16	104	5.143909ms	1.368309ms
14001675	16	692	9.166755ms	8.969614ms
14001699	16	29	2.404749ms	2.391287ms
14001720	16	95	14.987202ms	7.533547ms
14001749	16	314	18.955729ms	3.610033ms
14001761	16	0	888ns	891ns
14001768	16	55	6.207228ms	1.746109ms
14001780	16	118	11.47442ms	3.640616ms
14001819	16	154	10.256811ms	3.912498ms
14001833	16	234	19.111863ms	9.235427ms
14001845	16	153	10.498813ms	1.805405ms
14001847	16	63	4.541728ms	1.350618ms
14001868	16	35	1.917979ms	1.906949ms
14001973	16	131	11.607448ms	3.111826ms
14001978	16	138	8.557518ms	1.725776ms
14001986	16	180	17.041415ms	3.121176ms
14001990	16	164	16.872521ms	5.493865ms
14001994	16	336	21.867421ms	3.612767ms
14002005	16	188	17.862964ms	5.360427ms
14002015	16	65	7.453904ms	1.718625ms
14002070	16	286	26.182098ms	9.026009ms
14002074	16	91	7.833102ms	1.985182ms
14002079	16	395	27.377352ms	18.518845ms
14002090	16	220	12.822799ms	2.229458ms
14002174	16	141	13.537791ms	4.76802ms
14002190	16	26	1.977283ms	1.975984ms
14002194	16	225	17.400164ms	3.497321ms
14002224	16	49	1.6856ms	1.682307ms
14002247	16	0	896ns	905ns
14002282	16	151	10.506855ms	2.007648ms
14002297	16	46	5.448002ms	2.114083ms
14002328	16	225	15.644364ms	3.08435ms
14002394	16	29	6.191724ms	6.190267ms
14002402	16	197	7.955015ms	2.211673ms
14002427	16	71	6.524262ms	1.953685ms
14002462	16	394	23.956374ms	9.24758ms
14002477	16	383	25.984161ms	8.897525ms
14002496	16	74	9.86552ms	3.009809ms
14002514	16	476	18.840115ms	5.134361ms
14002523	16	79	7.009019ms	2.184572ms
14002531	16	410	22.210958ms	5.117214ms
14002536	16	64	3.963857ms	1.301509ms
14002538	16	71	6.71278ms	1.635685ms
14002541	16	249	17.200996ms	3.902823ms
14002678	16	149	7.355399ms	8.615323ms
14002685	16	12	680.879µs	678.851µs
14002720	16	306	18.028208ms	3.797558ms
14002741	16	422	19.386174ms	4.309349ms
14002780	16	244	17.28516ms	3.072067ms
14002794	16	333	21.902646ms	3.771474ms
14002806	16	251	4.371029ms	3.859267ms
14002827	16	96	7.850518ms	2.210878ms
14002849	16	183	8.661476ms	2.454262ms
14002875	16	136	11.298072ms	2.865563ms
14002887	16	165	10.614918ms	2.127567ms
14002933	16	347	22.483744ms	3.967152ms
14003024	16	144	10.023077ms	2.252052ms
14003042	16	407	23.543803ms	4.336752ms
14003053	16	25	506.608µs	508.207µs
14003065	16	191	9.878175ms	2.263877ms
14003070	16	77	4.976269ms	1.215223ms
14003088	16	321	23.817453ms	4.640307ms
14003091	16	274	23.946749ms	10.379252ms
14003093	16	38	5.5312ms	2.109054ms
14003105	16	98	5.639424ms	2.5853ms
14003132	16	755	18.957226ms	13.263697ms
14003172	16	84	7.94488ms	1.860494ms
14003222	16	267	21.17652ms	3.985707ms
14003237	16	168	15.204317ms	3.258648ms
14003248	16	24	2.265345ms	2.260733ms
14003316	16	504	22.01815ms	5.144306ms
14003351	16	94	7.646923ms	1.710136ms
14003391	16	96	8.334396ms	1.905089ms
14003395	16	305	27.00841ms	8.233268ms
14003409	16	261	13.889915ms	2.863746ms
14003410	16	8	567.075µs	564.867µs
14003412	16	83	4.947055ms	1.276493ms
14003414	16	691	22.082487ms	11.946884ms
14003430	16	428	23.773215ms	5.936208ms
14003485	16	211	15.228779ms	3.882061ms
14003500	16	120	9.506753ms	2.549592ms
14003518	16	343	25.563214ms	9.308393ms
14003541	16	102	8.961772ms	1.805889ms
14003549	16	110	7.526743ms	1.639159ms
14003561	16	169	7.800121ms	1.920073ms
14003570	16	75	4.770546ms	1.212414ms
14003573	16	383	34.078906ms	11.67483ms
14003587	16	133	11.151979ms	3.342782ms
14003601	16	137	4.335443ms	1.55257ms
14003611	16	35	2.387815ms	2.381971ms
14003613	16	10	1.233521ms	1.230602ms
14003618	16	56	4.736451ms	1.237284ms
14003664	16	80	4.210868ms	1.360396ms
14003666	16	328	20.182561ms	3.671159ms
14003673	16	378	23.604177ms	5.602076ms
14003679	16	309	18.410602ms	3.502598ms
14003681	16	67	2.925339ms	1.25495ms
14003688	16	227	18.128606ms	3.088102ms
14003704	16	82	1.674612ms	1.665531ms
14003719	16	280	22.952827ms	3.830087ms
14003730	16	279	16.973962ms	3.03139ms
14003766	16	263	20.65297ms	3.715697ms
14003807	16	0	900ns	899ns
14003812	16	87	7.658856ms	1.726474ms
14003819	16	166	11.393788ms	3.439517ms
14003839	16	187	9.831955ms	2.10231ms
14003842	16	89	8.903266ms	2.626217ms
14003925	16	181	7.722507ms	2.416239ms
14003951	16	33	1.399287ms	1.392412ms
14003960	16	72	5.018777ms	1.518967ms
14003979	16	49	2.898451ms	2.88357ms
14004016	16	201	17.416821ms	15.208598ms
14004037	16	173	10.577065ms	4.658513ms
14004047	16	245	13.951306ms	5.307898ms
14004069	16	28	2.023364ms	2.015126ms
14004076	16	207	15.335842ms	4.990862ms
14004139	16	245	11.824024ms	2.579104ms
14004153	16	176	12.366704ms	6.48578ms
14004219	16	187	13.895822ms	6.274435ms
14004221	16	405	29.161055ms	12.782249ms
14004227	16	38	3.48296ms	3.477641ms
14004236	16	181	13.992815ms	2.505553ms
14004264	16	469	20.081765ms	5.717565ms
14004267	16	60	3.811186ms	1.350756ms
14004274	16	443	28.631859ms	6.75009ms
14004292	16	115	9.053941ms	2.68107ms
14004313	16	190	13.389827ms	2.653856ms
14004318	16	0	1.051µs	879ns
14004321	16	66	4.660357ms	1.415527ms
14004354	16	337	30.129841ms	8.808965ms
14004401	16	119	7.895141ms	2.084498ms
14004429	16	47	1.864959ms	1.857506ms
14004462	16	98	5.290754ms	1.374225ms
14004483	16	388	23.402508ms	4.413878ms
14004522	16	690	18.894474ms	7.675402ms
14004524	16	118	6.887878ms	1.844365ms
14004529	16	192	11.560023ms	3.450735ms
14004558	16	340	33.455259ms	13.776616ms
14004559	16	99	5.659539ms	1.638295ms
14004565	16	100	15.286402ms	21.548616ms
14004574	16	472	39.321072ms	11.818182ms
14004599	16	170	14.240737ms	8.190087ms
14004635	16	436	32.958662ms	10.22546ms
14004651	16	106	5.747108ms	1.496826ms
14004653	16	435	30.465861ms	9.373755ms
14004713	16	132	6.787819ms	2.074687ms
14004715	16	81	3.550239ms	1.123744ms
14004782	16	373	22.93908ms	4.397078ms
14004788	16	53	3.662253ms	3.649437ms
14004792	16	350	32.071466ms	9.175543ms
14004794	16	207	22.16226ms	4.298994ms
14004810	16	137	5.887533ms	1.939966ms
14004814	16	30	3.301321ms	3.304684ms
14004832	16	23	264.612µs	263.5µs
14004833	16	205	18.558998ms	3.975893ms
14004850	16	253	12.198602ms	2.681081ms
14004854	16	62	6.978518ms	2.088462ms
14004861	16	177	14.424049ms	4.637447ms
14004890	16	322	18.245904ms	5.842223ms
14004892	16	154	5.949689ms	1.941849ms
14004894	16	88	11.236431ms	5.818733ms
14004977	16	104	6.327955ms	1.620237ms
14004983	16	185	13.263894ms	3.292338ms
21631009	16	177	14.012329ms	4.045325ms
21631021	16	149	15.016732ms	7.153047ms
21631037	16	221	15.817987ms	3.391699ms
21631051	16	108	16.920792ms	8.076875ms
21631060	16	243	22.966351ms	5.311508ms
21631065	16	249	19.855166ms	4.689218ms
